latitude,longitude
39.53416452,-73.91739129
40.92325669,-78.2403569
41.46015842,-75.65117146
38.49176173,-79.30502085
40.74040667,-79.69111891
39.60476756,-78.05670693
41.12686882,-77.05729476
40.42513952,-78.55613327
38.75314187,-77.32819207
38.4539261,-80.35157869
38.62201836,-80.06151213
39.40911888,-80.5666703
41.35251315,-78.79597519
40.9905556,-77.30259024
41.22629551,-77.41434304
37.43253936,-75.66238757
37.12408863,-74.36567793
41.09639593,-77.27342052
37.47808261,-77.71718221
39.32577529,-75.73320258
40.58921719,-79.29003829
40.35664261,-74.25200043
40.68024482,-79.37614056
39.00567953,-76.4296835
37.44226952,-75.96442003
36.85150928,-78.65483787
41.25068437,-77.39274516
37.65950423,-76.28184278
40.16089085,-79.02772216
36.8910392,-77.13297945
40.91010499,-77.65588348
38.21180094,-74.77977606
40.19718537,-79.21968442
37.263245,-78.7373305
40.17306085,-80.02619477
37.75109631,-76.40415218
37.01938663,-79.41591126
36.22779703,-77.0074349
37.92550732,-77.02698678
37.01030982,-76.71363096
39.41591855,-75.51161533
40.73135539,-74.16049033
39.13910655,-73.41635887
37.35586652,-75.58916666
38.72855741,-79.95690894
40.4751749,-75.01267804
40.09854283,-73.6430485
38.31013192,-77.28160866
37.81861306,-74.06488912
39.27805873,-78.88193006
38.8014163,-75.11762365
38.13810231,-73.86008034
39.06040314,-80.43358486
38.78737689,-80.56575723
40.50887153,-78.90175669
39.25238347,-79.03545827
39.72604613,-74.29801716
40.52873195,-79.97199616
39.10876214,-78.07194058
39.85035746,-76.0604474
39.69499744,-79.36614701
37.17778703,-74.05555858
40.43647984,-75.90649598
40.45856441,-76.13214318
39.70527655,-80.01311224
41.34596545,-77.95439276
41.40483508,-75.08199193
39.03763218,-79.07744118
36.78916427,-77.20761212
39.8527192,-80.296848
39.3085669,-80.02888447
41.38266212,-76.45302578
39.72286411,-75.54038411
38.99953783,-79.58602658
39.05282128,-75.44486385
37.07513641,-77.25205798
37.06028395,-76.05668046
39.19847754,-78.88387624
40.72869786,-77.28824436
38.083228,-76.16910052
38.24883349,-80.50574265
40.28800192,-75.77122105
40.88905349,-75.03381498
38.46677857,-76.17522285
37.72006224,-77.56419946
36.66528958,-74.80160218
37.97030177,-79.17598255
41.4196038,-76.21357251
39.87973876,-75.17473661
39.73099361,-73.69652423
41.18367071,-79.23856778
39.13652593,-74.2393539
38.96553465,-75.03388633
38.9307215,-75.24285876
41.16283258,-76.11377752
38.21045797,-75.58933774
39.65614632,-73.8817432
37.90692309,-77.12345146
38.85542106,-75.30144095
40.22693597,-76.0471903
41.0511312,-78.65590746
38.38384469,-76.7627405
40.14914766,-77.88720839
40.24921406,-79.0212066
39.31972749,-78.88635372
37.56490264,-75.43673543
39.89754938,-76.7575628
39.7153329,-76.32456942
39.79619728,-73.47836661
39.89274244,-77.50021846
38.06105003,-74.42310169
41.5743947,-76.68927469
38.39655737,-80.11557955
39.18149123,-80.46035035
38.29916842,-77.20456436
40.62265959,-76.1399702
41.06491183,-74.77026183
37.078382,-78.05326193
40.74393421,-79.33399132
37.39924789,-79.8411145
38.23909956,-77.94607471
37.46822645,-78.61140653
37.18404954,-78.80088093
40.75557194,-75.38713765
37.39977397,-76.04156023
39.56698106,-76.41082152
38.88845047,-75.64231728
36.30001849,-75.37513836
39.99826694,-79.58550919
38.53337664,-76.87177468
40.28666835,-79.060405
41.07519696,-77.56435764
37.26656031,-74.77665471
39.8337415,-77.6370229
37.03898065,-74.53991479
40.12728305,-80.16706852
39.46100159,-79.69973087
40.03495136,-75.74895541
39.63513602,-79.65701381
40.20788808,-79.24054602
41.63344579,-76.30633512
40.05831173,-75.84511337
38.08439353,-79.76082808
37.98334339,-78.18957643
40.11361699,-78.59283968
41.6057924,-75.81171686
40.42131564,-79.17813727
38.69074268,-73.45345744
37.87900811,-74.77905525
38.08142969,-74.39554684
39.45326813,-80.20654419
39.71773304,-74.97746914
36.06744549,-77.4053845
39.66604295,-76.09666858
39.57451646,-75.6194119
38.56792475,-73.73403094
